
*------------- perfstat v8.3 (20150514_2838689) -------------*
 
BACKUPLOG,           DEFAULT,             "false"
CLUSTER-IP,          SET,                 "10.25.130.55"
CLUSTER-NAME,        SET
DATA-DIR,            DEFAULT,             "perfstat_20160827_170000"
FILERLOGINUSER,      DEFAULT,             "root"
HOST-OS-VERSION,     SET,                 "Windows_NT"
HOST_APP_ARGS,       DEFAULT,             "none"
HOST_APP_NAME,       DEFAULT,             "none"
ITERATIONS,          SET,                 "48"
MESSAGE-LEVEL,       SET,                 "verbose"
MODE,                SET,                 "10-mode"
OUTPUT-FILE,         DEFAULT,             "perfstat_20160827_170000.zip"
PRESET-FILE,         SET,                 "\Users\Administrator\Downloads\perfstat.preset"
SKTRACE_POINTS,      DEFAULT,             "SK 7, WAFL 4"
SSHFLAG,             SET,                 "true"
SSHKNOWNHOSTS-FILEPATH,DEFAULT
STUTTER-STATIT,      DEFAULT,             "half"
TIME,                SET,                 "15"
COMMAND_LINE,        SET,                 "--verbose -t 15 -i 48,900 10.25.130.55 -m cluster -s --include=COMMAND=df -x -m --include=COMMAND=df -A -m --include=COMMAND=sysstat -x -d -c <time> -s 5 --sshprivatekey-file=perfstat_sshkey\perfstat_privkey --preset-file=\Users\Administrator\Downloads\perfstat.preset "
CONFIG-ALL,          DEFAULT,             "false"
HOST-IP,             SET,                 "10.25.139.91"
HOST-NAME,           SET,                 "WIN-MQSSBCTD35L"
INCLUDE,             SET,                 "COMMAND=df -x -m;COMMAND=df -A -m;COMMAND=sysstat -x -d -c <time> -s 5"
ITER-INTERVAL,       SET,                 "900"
NODES,               SET,                 "10.25.130.53, 10.25.130.54, "
SAMPLE-INTERVAL,     DEFAULT,             "60"
SAMPLES,             DEFAULT,             "14"
SSHPRIVATEKEY-PATH,  SET,                 "perfstat_sshkey\perfstat_privkey"
START-TIME,          DEFAULT,             "Sat Aug 27 21:00:00 GMT 2016"
TIME,                DEFAULT,             "2"

NODE-IP,             10.25.130.54
NODE-NAME,           NETAPP-02
ONTAP VERSION,       8.2.1
MODEL,               FAS8060
HEALTH,              TRUE
UPTIME,              342 DAYS 12:25
SYSTEM ID,           0536976275
SERIAL NUMBER,       721530000621
NUMBER OF PROCESSORS,16


=-=-=-=-=-= BEGIN Iteration 1  =-=-=-=-=-= Sat Aug 27 17:01:22 EDT 2016

=-=-=-=-=-= PERF 10.25.130.54 PRESTATS =-=-=-=-=-= date

PERFSTAT_EPOCH: 1472331676 [Sat Aug 27 21:01:16 GMT 2016]



Sat Aug 27 17:01:23 EDT 2016


--- EXE-TIME of : date : 0 seconds
=-=-=-=-=-= BEGIN PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -x -m

PERFSTAT_EPOCH: 1472331677 [Sat Aug 27 21:01:17 GMT 2016]



Filesystem               total       used      avail capacity  Mounted on
/vol/vol0/            316160MB    22811MB   293348MB       7%  /vol/vol0/
/vol/vs1_cumulus_clus3/  9159884MB  5876338MB  3283546MB      64%  /vol/vs1_cumulus_clus3/
/vol/vs1_Infrastructure_root_ls2/       19MB        0MB       18MB       1%  /vol/vs1_Infrastructure_root_ls2/
/vol/vs1_xenoscope/  1842872MB   977267MB   865604MB      53%  /vol/vs1_xenoscope/
/vol/vs1_ftlvmw1/     996147MB   729922MB   266224MB      73%  /vol/vs1_ftlvmw1/
/vol/vs1_cumulus_clus5/  6606028MB  4834088MB  1771940MB      73%  /vol/vs1_cumulus_clus5/
/vol/vs1_cumulus_clus1/  6606028MB  5409135MB  1196893MB      82%  /vol/vs1_cumulus_clus1/
/vol/vs1_fusion_vol/   716800MB   439313MB   277486MB      61%  /vol/vs1_fusion_vol/
/vol/vs1_websrvc/    1459200MB      526MB  1458673MB       0%  /vol/vs1_websrvc/
/vol/vs1_labvdi2/    1045954MB   888435MB   157518MB      85%  /vol/vs1_labvdi2/
/vol/vs1_labpool7/    486400MB    23447MB   462952MB       5%  /vol/vs1_labpool7/
/vol/vs1_reflab3/     996147MB   665153MB   330994MB      67%  /vol/vs1_reflab3/


--- EXE-TIME of : df -x -m : 0 seconds

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -A -m

PERFSTAT_EPOCH: 1472331677 [Sat Aug 27 21:01:17 GMT 2016]



Aggregate                total       used      avail capacity  
n2_aggr0              376181MB   334807MB    41373MB      89%  
n2_aggr0/.snapshot         0MB        0MB        0MB       0%  
n2_aggr1            29718342MB 22546578MB  7171763MB      76%  
n2_aggr1/.snapshot         0MB        0MB        0MB       0%  


--- EXE-TIME of : df -A -m : 1 seconds

=-=-=-=-=-= END PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= PERF 10.25.130.54 POSTSTATS =-=-=-=-=-= sysstat_x_1sec
PERFSTAT_EPOCH: 1472331696 [Sat Aug 27 21:01:36 GMT 2016]
node run -node local -command "priv set -q diag;sysstat -x -d -c 880 -s 5"
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 16%   6460      0      0    6466   75889  63344  143202 129896       0      0       0      0    31     98%  100%  :f   33%    0%       6      0      0       0      0       0      0
 15%   8943      0      0    8975   68154  49291   71128  90619       0      0       0      0    31     98%   96%  :    26%    0%      32      0      0       0      0       0      0
 11%   7265      0      0    7268   82781  62138    7075      6       0      0       0      0    30     99%    0%  -    11%    0%       3      0      0       0      0       0      0
 11%   4848      0      0    4871   84612  64641   44280    676       0      0       0      0    30     99%    4%  Tn   12%    0%      23      0      0       0      0       0      0
 25%   8100      0      0    8154   97014  62748  261416 244884       0      0       0      0    30     99%  100%  :f   48%    0%      54      0      0       0      0       0      0
 18%   8911      0      0    8913  117041  50774  109162 134165       0      0       0      0    30     99%   84%  :    31%    0%       2      0      0       0      0       0      0
  5%   3016      0      0    3019   24168  12323    6019     11       0      0       0      0    30     96%    0%  -     8%    0%       3      0      0       0      0       0      0
 12%   6075      0      0    6106   25907   7228   82096  40507       0      0       0      0    30    100%   16%  Tn   18%    0%      31      0      0       0      0       0      0
 13%   2641      0      0    2756   29666   9081  186344 180745       0      0       0      0    30     99%  100%  :f   38%    0%     115      0      0       0      0       0      0
  9%   4787      0      0    4789   21503   8901   63306  93131       0      0       0      0    30     99%   55%  :    21%    0%       2      0      0       0      0       0      0
  4%   2120      0      0    2151   20800   7371    3312     11       0      0       0      0    30     98%    0%  -     6%    0%      31      0      0       0      0       0      0
 11%   4570      0      0    4587   15347   7442  119916  86005       0      0       0      0    30     99%   45%  Tf   20%    0%      17      0      0       0      0       0      0
  4%   1408      0      0    1411   14108   7093    1830  27244       0      0       0      0    30     99%   18%  :     7%    0%       3      0      0       0      0       0      0
  4%   2148      0      0    2180   13248  11078    3709     11       0      0       0      0    30     98%    0%  -     5%    0%      32      0      0       0      0       0      0
  7%   1739      0      0    1741   15224   4865   59026  54741       0      0       0      0    30     99%   54%  T    13%    0%       2      0      0       0      0       0      0
  4%   1445      0      0    1487   18722   6537    1656     11       0      0       0      0    30     98%    0%  -     3%    0%      42      0      0       0      0       0      0
  6%   3545      0      0    3597   12240   5760   57209  18652       0      0       0      0    30     99%   26%  Tf   10%    0%      52      0      0       0      0       0      0
  6%   3534      0      0    3536   12405  15464   13793  41413       0      0       0      0    30     97%   60%  :    10%    0%       2      0      0       0      0       0      0
  3%   1174      0      0    1176    8911   3885    1104     11       0      0       0      0    30     98%    0%  -     4%    0%       2      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
  7%   4637      0      0    4689    9232   3910   52694  30988       0      0       0      0    30     99%   39%  Tf    8%    0%      52      0      0       0      0       0      0
  5%   1677      0      0    1791   19418   6898    1314  17061       0      0       0      0    30     98%   25%  :     5%    0%     114      0      0       0      0       0      0
  4%   1823      0      0    1825   27038   6292     725     11       0      0       0      0    30     99%    0%  -     2%    0%       2      0      0       0      0       0      0
  9%   6217      0      0    6248   17926   7894   69481  62322       0      0       0      0    30     99%   69%  T    16%    0%      31      0      0       0      0       0      0
  4%   2214      0      0    2242    8768   3777     650      6       0      0       0      0    30     98%    0%  -     3%    0%      28      0      0       0      0       0      0
  6%   4646      0      0    4656   12650   7257   37792     75       0      0       0      0    30     99%    5%  Tf    5%    0%      10      0      0       0      0       0      0
  6%   4254      0      0    4287    9202   6031   19188  52616       0      0       0      0    30     98%   49%  :     8%    0%      33      0      0       0      0       0      0
  6%   6037      0      0    6040   11351   6235    1217      6       0      0       0      0    30     98%    0%  -     3%    0%       3      0      0       0      0       0      0
  8%   4579      0      0    4619   12725   9530   42923  37960       0      0       0      0    30     97%   50%  Tf    9%    0%      40      0      0       0      0       0      0
  7%   4074      0      0    4124   11785   7331     743    564       0      0       0      0    30     98%    2%  :     2%    0%      50      0      0       0      0       0      0
  4%   3872      0      0    3874   16453   6090     685      6       0      0       0      0    30     99%    0%  -     2%    0%       2      0      0       0      0       0      0
  9%   4816      0      0    4819   20345  24845   60946  47459       0      0       0      0    30     98%   59%  T    12%    0%       3      0      0       0      0       0      0
  5%   3618      0      0    3668   13276  31309    9427     11       0      0       0      0    30     98%    0%  -     8%    0%      50      0      0       0      0       0      0
  7%   3538      0      0    3653   20056   5961   55062  45962       0      0       0      0    30     99%   38%  Tf   10%    0%     115      0      0       0      0       0      0
  4%   1922      0      0    1925   13520   6474    1270   4992       0      0       0      0    30     98%    7%  :     3%    0%       3      0      0       0      0       0      0
  5%   4349      0      0    4381   17780   8484     948     11       0      0       0      0    30     99%    0%  -     2%    0%      32      0      0       0      0       0      0
  8%   3898      0      0    3900    9263   5756   68331  62671       0      0       0      0    30     99%   71%  T    10%    0%       2      0      0       0      0       0      0
  5%   2876      0      0    3283   33633  26598    1661     11       0      0       0      0    30     98%    0%  -     4%    0%     407      0      0       0      0       0      0
  9%   3877      0      0    3909   55749  50159   74574  27794       0      0       0      0    30     98%   21%  Tf   14%    0%      32      0      0       0      0       0      0
  8%   3703      0      0    3706   61988  47865   55775  75379       0      0       0      0    30     98%  100%  :f   16%    0%       3      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
