
*------------- perfstat v8.3 (20150514_2838689) -------------*
 
BACKUPLOG,           DEFAULT,             "false"
CLUSTER-IP,          SET,                 "10.25.130.55"
CLUSTER-NAME,        SET
DATA-DIR,            DEFAULT,             "perfstat_20160829_170000"
FILERLOGINUSER,      DEFAULT,             "root"
HOST-OS-VERSION,     SET,                 "Windows_NT"
HOST_APP_ARGS,       DEFAULT,             "none"
HOST_APP_NAME,       DEFAULT,             "none"
ITERATIONS,          SET,                 "48"
MESSAGE-LEVEL,       SET,                 "verbose"
MODE,                SET,                 "10-mode"
OUTPUT-FILE,         DEFAULT,             "perfstat_20160829_170000.zip"
PRESET-FILE,         SET,                 "\Users\Administrator\Downloads\perfstat.preset"
SKTRACE_POINTS,      DEFAULT,             "SK 7, WAFL 4"
SSHFLAG,             SET,                 "true"
SSHKNOWNHOSTS-FILEPATH,DEFAULT
STUTTER-STATIT,      DEFAULT,             "half"
TIME,                SET,                 "15"
COMMAND_LINE,        SET,                 "--verbose -t 15 -i 48,900 10.25.130.55 -m cluster -s --include=COMMAND=df -x -m --include=COMMAND=df -A -m --include=COMMAND=sysstat -x -d -c <time> -s 5 --sshprivatekey-file=perfstat_sshkey\perfstat_privkey --preset-file=\Users\Administrator\Downloads\perfstat.preset "
CONFIG-ALL,          DEFAULT,             "false"
HOST-IP,             SET,                 "10.25.139.91"
HOST-NAME,           SET,                 "WIN-MQSSBCTD35L"
INCLUDE,             SET,                 "COMMAND=df -x -m;COMMAND=df -A -m;COMMAND=sysstat -x -d -c <time> -s 5"
ITER-INTERVAL,       SET,                 "900"
NODES,               SET,                 "10.25.130.53, 10.25.130.54, "
SAMPLE-INTERVAL,     DEFAULT,             "60"
SAMPLES,             DEFAULT,             "14"
SSHPRIVATEKEY-PATH,  SET,                 "perfstat_sshkey\perfstat_privkey"
START-TIME,          DEFAULT,             "Mon Aug 29 21:00:00 GMT 2016"
TIME,                DEFAULT,             "2"

NODE-IP,             10.25.130.54
NODE-NAME,           NETAPP-02
ONTAP VERSION,       8.2.1
MODEL,               FAS8060
HEALTH,              TRUE
UPTIME,              344 DAYS 12:25
SYSTEM ID,           0536976275
SERIAL NUMBER,       721530000621
NUMBER OF PROCESSORS,16


=-=-=-=-=-= BEGIN Iteration 1  =-=-=-=-=-= Mon Aug 29 17:01:30 EDT 2016

=-=-=-=-=-= PERF 10.25.130.54 PRESTATS =-=-=-=-=-= date

PERFSTAT_EPOCH: 1472504478 [Mon Aug 29 21:01:18 GMT 2016]



Mon Aug 29 17:01:31 EDT 2016


--- EXE-TIME of : date : 1 seconds
=-=-=-=-=-= BEGIN PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -x -m

PERFSTAT_EPOCH: 1472504479 [Mon Aug 29 21:01:19 GMT 2016]



Filesystem               total       used      avail capacity  Mounted on
/vol/vol0/            316160MB    22588MB   293571MB       7%  /vol/vol0/
/vol/vs1_cumulus_clus3/  9159884MB  5424947MB  3734937MB      59%  /vol/vs1_cumulus_clus3/
/vol/vs1_Infrastructure_root_ls2/       19MB        0MB       18MB       1%  /vol/vs1_Infrastructure_root_ls2/
/vol/vs1_xenoscope/  1842872MB   837642MB  1005229MB      45%  /vol/vs1_xenoscope/
/vol/vs1_ftlvmw1/     996147MB   705722MB   290425MB      71%  /vol/vs1_ftlvmw1/
/vol/vs1_cumulus_clus5/  6606028MB  4814500MB  1791528MB      73%  /vol/vs1_cumulus_clus5/
/vol/vs1_cumulus_clus1/  6606028MB  5123903MB  1482125MB      78%  /vol/vs1_cumulus_clus1/
/vol/vs1_fusion_vol/   716800MB   439313MB   277486MB      61%  /vol/vs1_fusion_vol/
/vol/vs1_websrvc/    1459200MB      526MB  1458673MB       0%  /vol/vs1_websrvc/
/vol/vs1_labvdi2/    1045954MB   889870MB   156084MB      85%  /vol/vs1_labvdi2/
/vol/vs1_labpool7/    486400MB    23447MB   462952MB       5%  /vol/vs1_labpool7/
/vol/vs1_reflab3/     996147MB   665153MB   330994MB      67%  /vol/vs1_reflab3/


--- EXE-TIME of : df -x -m : 1 seconds

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -A -m

PERFSTAT_EPOCH: 1472504480 [Mon Aug 29 21:01:20 GMT 2016]



Aggregate                total       used      avail capacity  
n2_aggr0              376181MB   334807MB    41373MB      89%  
n2_aggr0/.snapshot         0MB        0MB        0MB       0%  
n2_aggr1            29718342MB 20890542MB  8827800MB      70%  
n2_aggr1/.snapshot         0MB        0MB        0MB       0%  


--- EXE-TIME of : df -A -m : 0 seconds

=-=-=-=-=-= END PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= PERF 10.25.130.54 POSTSTATS =-=-=-=-=-= sysstat_x_1sec
PERFSTAT_EPOCH: 1472504499 [Mon Aug 29 21:01:39 GMT 2016]
node run -node local -command "priv set -q diag;sysstat -x -d -c 880 -s 5"
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
  8%   3692      0      0    3698   35746  22104   17149     11       0      0       0      0    14s    92%    0%  -    14%    0%       6      0      0       0      0       0      0
 13%   3577      0      0    3609   41927  17566  103386  62051       0      0       0      0    14s    94%   36%  Tf   27%    0%      32      0      0       0      0       0      0
 10%   3109      0      0    3113   30274  29344   82676 114530       0      0       0      0    14s    92%   71%  :    29%    0%       4      0      0       0      0       0      0
  7%   3581      0      0    3583   35883  35247   13426     11       0      0       0      0    21s    91%    0%  -    15%    0%       2      0      0       0      0       0      0
 13%   5375      0      0    5406   44915  28232  100885  53207       0      0       0      0    17     92%   29%  Tf   26%    0%      31      0      0       0      0       0      0
 11%   4988      0      0    4993   38669  17467   63768  89111       0      0       0      0    17     90%   53%  :    23%    0%       5      0      0       0      0       0      0
 10%   5156      0      0    5201   84389  23004   14522     11       0      0       0      0    17     93%    0%  -    14%    0%      45      0      0       0      0       0      0
 13%   2801      0      0    2833   45042  39934  117319  60210       0      0       0      0    17     95%   47%  Tf   28%    0%      32      0      0       0      0       0      0
 12%   3523      0      0    3530   60180  29913  124773 122818       0      0       0      0    17     95%  100%  :f   40%    0%       7      0      0       0      0       0      0
 10%   6743      0      0    6745   62968  30317   15355   5362       0      0       0      0    17     91%    4%  :    15%    0%       2      0      0       0      0       0      0
  7%   3684      0      0    3723   28736  24703   13309     11       0      0       0      0    17     83%    0%  -    12%    0%      39      0      0       0      0       0      0
 16%   3853      0      0    3967   59889  39436  173197 125933       0      0       0      0    17     84%   95%  Tf   35%    0%     114      0      0       0      0       0      0
 16%  10967      0      0   10973   83198  53705   45281  67562       0      0       0      0    17     93%   63%  :    23%    0%       6      0      0       0      0       0      0
  8%   5470      0      0    5533   41949  35412    9369     11       0      0       0      0    17     95%    0%  -    11%    0%      63      0      0       0      0       0      0
 12%   5939      0      0    5944   18021  20874   90172  42190       0      0       0      0    17     96%   37%  Tf   19%    0%       5      0      0       0      0       0      0
 12%   6134      0      0    6136   48815  40207  125187 108044       0      0       0      0    17     94%  100%  :f   27%    0%       2      0      0       0      0       0      0
  9%   4460      0      0    4544   24388  21033   51150  85862       0      0       0      0    17     91%   71%  :    21%    0%      84      0      0       0      0       0      0
  8%   4532      0      0    4536   46313  48968   10345      6       0      0       0      0    17     92%    0%  -     9%    0%       4      0      0       0      0       0      0
 15%   8513      0      0    8569   57057  29783  112754  73453       0      0       0      0    17     98%   29%  Tf   20%    0%      56      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
  9%   4635      0      0    4667   52246  22407   12470  49242       0      0       0      0    17     93%   30%  :    12%    0%      32      0      0       0      0       0      0
  5%   4098      0      0    4100   35880  19752    6114      6       0      0       0      0    17     93%    0%  -     6%    0%       2      0      0       0      0       0      0
  9%   2562      0      0    2564   17796  13455  117621  71658       0      0       0      0    17     97%   69%  Tf   20%    0%       2      0      0       0      0       0      0
 10%   5048      0      0    5082   46409  26613   25989  54533       0      0       0      0    17     95%   59%  :    15%    0%      34      0      0       0      0       0      0
 10%   6159      0      0    6273   88890  20919    4488      6       0      0       0      0    18     96%    0%  -     6%    0%     114      0      0       0      0       0      0
 12%   2881      0      0    2883   56550  28116   83000  46304       0      0       0      0    18     97%   40%  Tf   18%    0%       2      0      0       0      0       0      0
  7%   1543      0      0    1611   11824   9363  112986 108754       0      0       0      0    18     94%  100%  :f   21%    0%      68      0      0       0      0       0      0
  6%   1553      0      0    1559   35536  33041   16598  51050       0      0       0      0    18     94%   50%  :    13%    0%       6      0      0       0      0       0      0
  4%   1964      0      0    1966   30060  17280    3014     11       0      0       0      0    18     94%    0%  -     5%    0%       2      0      0       0      0       0      0
  9%   2104      0      0    2141   45969  28108   98042  76482       0      0       0      0    18     94%   49%  Tf   16%    0%      37      0      0       0      0       0      0
  6%   2529      0      0    2532   53062  16621    4710  18783       0      0       0      0    18     94%   15%  :     8%    0%       3      0      0       0      0       0      0
  5%   2420      0      0    2479   22355  28624    9478     11       0      0       0      0    18     97%    0%  -     7%    0%      59      0      0       0      0       0      0
  9%   1833      0      0    1875   20798  17233  130335  83904       0      0       0      0    18     97%   84%  Tf   23%    0%      42      0      0       0      0       0      0
  5%   1986      0      0    2004   29968  25669   18095  32486       0      0       0      0    18     93%   34%  :    14%    0%      18      0      0       0      0       0      0
  5%   2533      0      0    2536   22083  20414   14993     11       0      0       0      0    17s    93%    0%  -    10%    0%       3      0      0       0      0       0      0
 10%   3128      0      0    3162   30420  18013  123758  69185       0      0       0      0    19     96%   65%  Tf   25%    0%      34      0      0       0      0       0      0
  8%   5220      0      0    5334   29601  32868   15966  38559       0      0       0      0    19     95%   43%  :    15%    0%     114      0      0       0      0       0      0
  5%   2404      0      0    2407   16541  30015   24266     11       0      0       0      0    19     95%    0%  -    15%    0%       3      0      0       0      0       0      0
 15%   3419      0      0    3512   24050  26075  104550  89184       0      0       0      0    19     97%   28%  2    25%    0%      93      0      0       0      0       0      0
 10%   3758      0      0    3762   11770  17814   17524      6       0      0       0      0    19     99%    0%  -    13%    0%       4      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 14%   2526      0      0    2531   14943  17448   68351  21929       0      0       0      0    19     99%   29%  Tf   17%    0%       5      0      0       0      0       0      0
 12%   4419      0      0    4449   12882  18507   18693  28644       0      0       0      0    19     99%   35%  :    19%    0%      30      0      0       0      0       0      0
 12%   2223      0      0    2226   23033  21801   20302      6       0      0       0      0    19     98%    0%  -    14%    0%       3      0      0       0      0       0      0
 18%   8800      0      0    8846   37633  42913  107566  77450       0      0       0      0    19     96%   64%  Tf   27%    0%      46      0      0       0      0       0      0
 11%   3723      0      0    4021   24464  25713   52414  21180       0      0       0      0     2s    97%   25%  Zf   14%    0%     298      0      0       0      0       0      0
 13%   6671      0      0    6679   37196  30421   23106  43998       0      0       0      0    19     94%   29%  Z    16%    0%       8      0      0       0      0       0      0
 12%   6055      0      0    6057   37720  27775   13927     11       0      0       0      0    19     94%    0%  -    14%    0%       2      0      0       0      0       0      0
 18%   7436      0      0    7469   32945  17719  100848  75030       0      0       0      0    18     95%   69%  Tf   25%    0%      33      0      0       0      0       0      0
 14%   7508      0      0    7626   36192  30158   14610  18188       0      0       0      0    19     94%   23%  :    16%    0%     118      0      0       0      0       0      0
 22%   7337      0      0    7344   73874  63674   99212  39318       0      0       0      0    19     90%   30%  Zf   27%    0%       7      0      0       0      0       0      0
 14%   6864      0      0    6895   67752  63738   78148  91830       0      0       0      0    19     76%  100%  :f   26%    0%      31      0      0       0      0       0      0
 19%   5045      0      0    5049   67321  63160  125957 127110       0      0       0      0    19     90%   90%  Z    31%    0%       4      0      0       0      0       0      0
 19%   7558      0      0    7560   75154  65950  157355 105835       0      0       0      0    18     85%   91%  Zf   31%    0%       2      0      0       0      0       0      0
 15%   4727      0      0    4921   86568  52491   70649  99459       0      0       0      0    18     98%   76%  Z    22%    0%     194      0      0       0      0       0      0
 13%   5315      0      0    5481   85982  69210    9737      6       0      0       0      0    19     99%    0%  -    11%    0%     166      0      0       0      0       0      0
 21%   5254      0      0    5296   90493  70361  102762  55137       0      0       0      0    19     99%   23%  Tn   24%    0%      42      0      0       0      0       0      0
 19%   4667      0      0    4698   68089  65000  121457 117416       0      0       0      0    19     99%  100%  :f   40%    0%      31      0      0       0      0       0      0
 15%   4196      0      0    4200   62709  48896  120923 119114       0      0       0      0    19     99%  100%  Zn   32%    0%       4      0      0       0      0       0      0
 12%   1648      0      0    1650   17477  10918  152253 161829       0      0       0      0    19     97%  100%  :f   32%    0%       2      0      0       0      0       0      0
 15%   2021      0      0    2258   29084   9909   94822  93713       0      0       0      0    19     99%   54%  Zf   22%    0%     237      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 16%   2203      0      0    2483   42690  12305   75915  92117       0      0       0      0    19     99%   84%  Z    30%    0%     280      0      0       0      0       0      0
