
*------------- perfstat v8.3 (20150514_2838689) -------------*
 
BACKUPLOG,           DEFAULT,             "false"
CLUSTER-IP,          SET,                 "10.25.130.55"
CLUSTER-NAME,        SET
DATA-DIR,            DEFAULT,             "perfstat_20160901_170000"
FILERLOGINUSER,      DEFAULT,             "root"
HOST-OS-VERSION,     SET,                 "Windows_NT"
HOST_APP_ARGS,       DEFAULT,             "none"
HOST_APP_NAME,       DEFAULT,             "none"
ITERATIONS,          SET,                 "48"
MESSAGE-LEVEL,       SET,                 "verbose"
MODE,                SET,                 "10-mode"
OUTPUT-FILE,         DEFAULT,             "perfstat_20160901_170000.zip"
PRESET-FILE,         SET,                 "\Users\Administrator\Downloads\perfstat.preset"
SKTRACE_POINTS,      DEFAULT,             "SK 7, WAFL 4"
SSHFLAG,             SET,                 "true"
SSHKNOWNHOSTS-FILEPATH,DEFAULT
STUTTER-STATIT,      DEFAULT,             "half"
TIME,                SET,                 "15"
COMMAND_LINE,        SET,                 "--verbose -t 15 -i 48,900 10.25.130.55 -m cluster -s --include=COMMAND=df -x -m --include=COMMAND=df -A -m --include=COMMAND=sysstat -x -d -c <time> -s 5 --sshprivatekey-file=perfstat_sshkey\perfstat_privkey --preset-file=\Users\Administrator\Downloads\perfstat.preset "
CONFIG-ALL,          DEFAULT,             "false"
HOST-IP,             SET,                 "10.25.139.91"
HOST-NAME,           SET,                 "WIN-MQSSBCTD35L"
INCLUDE,             SET,                 "COMMAND=df -x -m;COMMAND=df -A -m;COMMAND=sysstat -x -d -c <time> -s 5"
ITER-INTERVAL,       SET,                 "900"
NODES,               SET,                 "10.25.130.53, 10.25.130.54, "
SAMPLE-INTERVAL,     DEFAULT,             "60"
SAMPLES,             DEFAULT,             "14"
SSHPRIVATEKEY-PATH,  SET,                 "perfstat_sshkey\perfstat_privkey"
START-TIME,          DEFAULT,             "Thu Sep 01 21:00:00 GMT 2016"
TIME,                DEFAULT,             "2"

NODE-IP,             10.25.130.54
NODE-NAME,           NETAPP-02
ONTAP VERSION,       8.2.1
MODEL,               FAS8060
HEALTH,              TRUE
UPTIME,              347 DAYS 12:25
SYSTEM ID,           0536976275
SERIAL NUMBER,       721530000621
NUMBER OF PROCESSORS,16


=-=-=-=-=-= BEGIN Iteration 1  =-=-=-=-=-= Thu Sep  1 17:01:22 EDT 2016

=-=-=-=-=-= PERF 10.25.130.54 PRESTATS =-=-=-=-=-= date

PERFSTAT_EPOCH: 1472763677 [Thu Sep 01 21:01:17 GMT 2016]



Thu Sep  1 17:01:23 EDT 2016


--- EXE-TIME of : date : 1 seconds
=-=-=-=-=-= BEGIN PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -x -m

PERFSTAT_EPOCH: 1472763679 [Thu Sep 01 21:01:19 GMT 2016]



Filesystem               total       used      avail capacity  Mounted on
/vol/vol0/            316160MB    22570MB   293589MB       7%  /vol/vol0/
/vol/vs1_cumulus_clus3/  9159884MB  6550801MB  2609083MB      72%  /vol/vs1_cumulus_clus3/
/vol/vs1_Infrastructure_root_ls2/       19MB        0MB       18MB       1%  /vol/vs1_Infrastructure_root_ls2/
/vol/vs1_xenoscope/  1842872MB  1070478MB   772393MB      58%  /vol/vs1_xenoscope/
/vol/vs1_ftlvmw1/     996147MB   820922MB   175224MB      82%  /vol/vs1_ftlvmw1/
/vol/vs1_cumulus_clus5/  6606028MB  4771789MB  1834239MB      72%  /vol/vs1_cumulus_clus5/
/vol/vs1_cumulus_clus1/  6606028MB  5323921MB  1282106MB      81%  /vol/vs1_cumulus_clus1/
/vol/vs1_fusion_vol/   716800MB   439313MB   277486MB      61%  /vol/vs1_fusion_vol/
/vol/vs1_websrvc/    1459200MB      526MB  1458673MB       0%  /vol/vs1_websrvc/
/vol/vs1_labvdi2/    1045954MB   958651MB    87302MB      92%  /vol/vs1_labvdi2/
/vol/vs1_labpool7/    486400MB    23447MB   462952MB       5%  /vol/vs1_labpool7/
/vol/vs1_reflab3/     996147MB   665153MB   330994MB      67%  /vol/vs1_reflab3/


--- EXE-TIME of : df -x -m : 1 seconds

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -A -m

PERFSTAT_EPOCH: 1472763680 [Thu Sep 01 21:01:20 GMT 2016]



Aggregate                total       used      avail capacity  
n2_aggr0              376181MB   334807MB    41373MB      89%  
n2_aggr0/.snapshot         0MB        0MB        0MB       0%  
n2_aggr1            29718342MB 23328950MB  6389391MB      79%  
n2_aggr1/.snapshot         0MB        0MB        0MB       0%  


--- EXE-TIME of : df -A -m : 1 seconds

=-=-=-=-=-= END PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= PERF 10.25.130.54 POSTSTATS =-=-=-=-=-= sysstat_x_1sec
PERFSTAT_EPOCH: 1472763699 [Thu Sep 01 21:01:39 GMT 2016]
node run -node local -command "priv set -q diag;sysstat -x -d -c 880 -s 5"
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 13%   7120      0      0    7125   95385  82187   29749     11       0      0       0      0    15     96%    0%  -    17%    0%       5      0      0       0      0       0      0
 25%  10535      0      0   10538   77068  59222  158031  83147       0      0       0      0    15     95%   33%  Ff   41%    0%       3      0      0       0      0       0      0
 25%   9574      0      0    9604  126086  87689  248709 201840       0      0       0      0    15     94%  100%  :f   56%    0%      30      0      0       0      0       0      0
 18%   8137      0      0    8140   78122  46726  119802 137047       0      0       0      0    15     96%   65%  :    39%    0%       3      0      0       0      0       0      0
 11%   6636      0      0    6638   54700  55676   28385      6       0      0       0      0    15     95%    0%  -    14%    0%       2      0      0       0      0       0      0
 17%   3771      0      0    3954   45746  43948  160776  88890       0      0       0      0    15     96%   35%  Tf   34%    0%     183      0      0       0      0       0      0
 20%   8425      0      0    8428   42116  50882  204015 176686       0      0       0      0    15     96%  100%  :f   42%    0%       3      0      0       0      0       0      0
 16%   8411      0      0    8426   60523  37017   99025 114787       0      0       0      0    15     96%   66%  :    31%    0%      15      0      0       0      0       0      0
 13%   7297      0      0    7330   73174  73995   21298     11       0      0       0      0    15     96%    0%  -    14%    0%      33      0      0       0      0       0      0
 24%  11971      0      0   11977  100487 106362  146366  80413       0      0       0      0    15     98%   33%  Tf   29%    0%       6      0      0       0      0       0      0
 17%   7803      0      0    7805   52066  69475  151296 154369       0      0       0      0    15     96%   89%  :    43%    0%       2      0      0       0      0       0      0
  9%   6419      0      0    6449   30079  39997   16673     11       0      0       0      0    15     95%    0%  -    13%    0%      30      0      0       0      0       0      0
 17%   8335      0      0    8339   81260  99111   74922  22692       0      0       0      0    27s    96%   11%  Tf   20%    0%       4      0      0       0      0       0      0
 15%   5652      0      0    5655   67662  97516   97295 114094       0      0       0      0    27s    96%   75%  :    32%    0%       3      0      0       0      0       0      0
 11%   8963      0      0    8993   26761  49382   17929     11       0      0       0      0    27s    95%    0%  -    13%    0%      30      0      0       0      0       0      0
 12%   5720      0      0    5722   29722  46190   94502  37153       0      0       0      0    25s    96%   25%  Tf   23%    0%       2      0      0       0      0       0      0
 10%   5200      0      0    5204   22624  41953   55599  61472       0      0       0      0    25s    92%   71%  :    25%    0%       4      0      0       0      0       0      0
 15%   7347      0      0    7533   89364 145312   40786     11       0      0       0      0    16     96%    0%  -    23%    0%     186      0      0       0      0       0      0
 17%   6184      0      0    6187   70845  82577  117035  54292       0      0       0      0    15     96%   27%  Tf   28%    0%       3      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 12%   5763      0      0    5800   19467  50621   77125  78293       0      0       0      0    15     93%   99%  :    31%    0%      37      0      0       0      0       0      0
 11%   6710      0      0    6743   22801  77848   48614     11       0      0       0      0    16     96%    0%  -    24%    0%      33      0      0       0      0       0      0
 17%  10637      0      0   10640   73301 135724   48623     13       0      0       0      0    16     95%    0%  Tn   25%    0%       3      0      0       0      0       0      0
 17%   5888      0      0    5890   83914 134229  136801 100404       0      0       0      0    16     95%   85%  :    37%    0%       2      0      0       0      0       0      0
 11%   7115      0      0    7146   39484  63481   39932     11       0      0       0      0    16     94%    0%  -    21%    0%      31      0      0       0      0       0      0
 19%   9941      0      0    9962   48818 104348  123084  37714       0      0       0      0     0s    95%   14%  Tf   33%    0%      21      0      0       0      0       0      0
 17%   7047      0      0    7050  110456 100230   64589  60366       0      0       0      0    16     93%   82%  :    33%    0%       3      0      0       0      0       0      0
 16%   9778      0      0    9808   81648  70545   34175     11       0      0       0      0    16     94%    0%  -    21%    0%      30      0      0       0      0       0      0
 18%   7852      0      0    7856   56068  73748   87930  25970       0      0       0      0    16     95%   17%  Tn   28%    0%       4      0      0       0      0       0      0
 15%   7353      0      0    7355   22573  54414  144823 106534       0      0       0      0    16     95%  100%  :f   31%    0%       2      0      0       0      0       0      0
 15%   6512      0      0    6691   39386  56016  131320 115552       0      0       0      0    16     96%  100%  :f   31%    0%     179      0      0       0      0       0      0
 10%   5641      0      0    5644   46489  36190   17268  35042       0      0       0      0    16     93%   39%  :    14%    0%       3      0      0       0      0       0      0
  8%   5622      0      0    5656   17545  46833   27382      6       0      0       0      0    16     95%    0%  -    12%    0%      34      0      0       0      0       0      0
 16%   5258      0      0    5669   30191  33485  144143  96231       0      0       0      0    16     96%   61%  Tf   28%    0%     411      0      0       0      0       0      0
 12%   6417      0      0    6420   48227  49016   34784  52835       0      0       0      0    16     87%   35%  :    17%    0%       3      0      0       0      0       0      0
 14%   7995      0      0    7997   80647  85331   17702      6       0      0       0      0    16     83%    0%  -    14%    0%       2      0      0       0      0       0      0
 20%   7810      0      0    7841   73246  89305  152867 108238       0      0       0      0    14     86%   65%  Tf   34%    0%      31      0      0       0      0       0      0
 14%   7017      0      0    7039   64605  96969   65454  76344       0      0       0      0    16     84%   51%  :    26%    0%      22      0      0       0      0       0      0
