
*------------- perfstat v8.3 (20150514_2838689) -------------*
 
BACKUPLOG,           DEFAULT,             "false"
CLUSTER-IP,          SET,                 "10.25.130.55"
CLUSTER-NAME,        SET
DATA-DIR,            DEFAULT,             "perfstat_20160906_170000"
FILERLOGINUSER,      DEFAULT,             "root"
HOST-OS-VERSION,     SET,                 "Windows_NT"
HOST_APP_ARGS,       DEFAULT,             "none"
HOST_APP_NAME,       DEFAULT,             "none"
ITERATIONS,          SET,                 "48"
MESSAGE-LEVEL,       SET,                 "verbose"
MODE,                SET,                 "10-mode"
OUTPUT-FILE,         DEFAULT,             "perfstat_20160906_170000.zip"
PRESET-FILE,         SET,                 "\Users\Administrator\Downloads\perfstat.preset"
SKTRACE_POINTS,      DEFAULT,             "SK 7, WAFL 4"
SSHFLAG,             SET,                 "true"
SSHKNOWNHOSTS-FILEPATH,DEFAULT
STUTTER-STATIT,      DEFAULT,             "half"
TIME,                SET,                 "15"
COMMAND_LINE,        SET,                 "--verbose -t 15 -i 48,900 10.25.130.55 -m cluster -s --include=COMMAND=df -x -m --include=COMMAND=df -A -m --include=COMMAND=sysstat -x -d -c <time> -s 5 --sshprivatekey-file=perfstat_sshkey\perfstat_privkey --preset-file=\Users\Administrator\Downloads\perfstat.preset "
CONFIG-ALL,          DEFAULT,             "false"
HOST-IP,             SET,                 "10.25.139.91"
HOST-NAME,           SET,                 "WIN-MQSSBCTD35L"
INCLUDE,             SET,                 "COMMAND=df -x -m;COMMAND=df -A -m;COMMAND=sysstat -x -d -c <time> -s 5"
ITER-INTERVAL,       SET,                 "900"
NODES,               SET,                 "10.25.130.53, 10.25.130.54, "
SAMPLE-INTERVAL,     DEFAULT,             "60"
SAMPLES,             DEFAULT,             "14"
SSHPRIVATEKEY-PATH,  SET,                 "perfstat_sshkey\perfstat_privkey"
START-TIME,          DEFAULT,             "Tue Sep 06 21:00:00 GMT 2016"
TIME,                DEFAULT,             "2"

NODE-IP,             10.25.130.54
NODE-NAME,           NETAPP-02
ONTAP VERSION,       8.2.1
MODEL,               FAS8060
HEALTH,              TRUE
UPTIME,              352 DAYS 12:25
SYSTEM ID,           0536976275
SERIAL NUMBER,       721530000621
NUMBER OF PROCESSORS,16


=-=-=-=-=-= BEGIN Iteration 1  =-=-=-=-=-= Tue Sep  6 17:01:34 EDT 2016

=-=-=-=-=-= PERF 10.25.130.54 PRESTATS =-=-=-=-=-= date

PERFSTAT_EPOCH: 1473195678 [Tue Sep 06 21:01:18 GMT 2016]



Tue Sep  6 17:01:35 EDT 2016


--- EXE-TIME of : date : 0 seconds
=-=-=-=-=-= BEGIN PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -x -m

PERFSTAT_EPOCH: 1473195679 [Tue Sep 06 21:01:19 GMT 2016]



Filesystem               total       used      avail capacity  Mounted on
/vol/vol0/            316160MB    22666MB   293493MB       7%  /vol/vol0/
/vol/vs1_cumulus_clus3/  9159884MB  6136584MB  3023300MB      67%  /vol/vs1_cumulus_clus3/
/vol/vs1_Infrastructure_root_ls2/       19MB        0MB       18MB       1%  /vol/vs1_Infrastructure_root_ls2/
/vol/vs1_xenoscope/  1842872MB   868144MB   974727MB      47%  /vol/vs1_xenoscope/
/vol/vs1_ftlvmw1/     996147MB   930378MB    65768MB      93%  /vol/vs1_ftlvmw1/
/vol/vs1_cumulus_clus5/  6606028MB  4781953MB  1824075MB      72%  /vol/vs1_cumulus_clus5/
/vol/vs1_cumulus_clus1/  6606028MB  5247765MB  1358263MB      79%  /vol/vs1_cumulus_clus1/
/vol/vs1_fusion_vol/   716800MB   439313MB   277486MB      61%  /vol/vs1_fusion_vol/
/vol/vs1_websrvc/    1459200MB      526MB  1458673MB       0%  /vol/vs1_websrvc/
/vol/vs1_labvdi2/    1045954MB   958526MB    87428MB      92%  /vol/vs1_labvdi2/
/vol/vs1_labpool7/    486400MB    23447MB   462952MB       5%  /vol/vs1_labpool7/
/vol/vs1_reflab3/     996147MB   665153MB   330994MB      67%  /vol/vs1_reflab3/


--- EXE-TIME of : df -x -m : 0 seconds

=-=-=-=-=-= CONFIG 10.25.130.54 PRESTATS =-=-=-=-=-= df -A -m

PERFSTAT_EPOCH: 1473195679 [Tue Sep 06 21:01:19 GMT 2016]



Aggregate                total       used      avail capacity  
n2_aggr0              376181MB   334807MB    41373MB      89%  
n2_aggr0/.snapshot         0MB        0MB        0MB       0%  
n2_aggr1            29718342MB 22576945MB  7141396MB      76%  
n2_aggr1/.snapshot         0MB        0MB        0MB       0%  


--- EXE-TIME of : df -A -m : 1 seconds

=-=-=-=-=-= END PRESTATS  =-=-=-=-=-= 10.25.130.54

=-=-=-=-=-= PERF 10.25.130.54 POSTSTATS =-=-=-=-=-= sysstat_x_5sec
PERFSTAT_EPOCH: 1473195698 [Tue Sep 06 21:01:38 GMT 2016]
node run -node local -command "priv set -q diag;sysstat -x -d -c 880 -s 5"
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 23%   8367      0      0    8555   92303  90296  132013  81028       0      0       0      0    16     98%   32%  Ff   32%    0%     188      0      0       0      0       0      0
 25%  11279      0      0   11301   96821 106148  202304 183522       0      0       0      0    16     99%  100%  :f   45%    0%      22      0      0       0      0       0      0
 20%   7478      0      0    7510   84527  93938  165818 178076       0      0       0      0    16     99%  100%  :f   39%    0%      32      0      0       0      0       0      0
 17%   9557      0      0    9560  127736 134418   16115  10372       0      0       0      0    15     89%    9%  :    17%    0%       3      0      0       0      0       0      0
 21%   6982      0      0    6987   81415  76062  143926  97899       0      0       0      0    16     85%   48%  Ff   36%    0%       5      0      0       0      0       0      0
 19%   6685      0      0    6716   78495  91115  220450 209845       0      0       0      0    16     83%  100%  :f   46%    0%      31      0      0       0      0       0      0
 20%   7584      0      0    7606   78704  92431  137161 147494       0      0       0      0    16     84%   71%  :    36%    0%      22      0      0       0      0       0      0
 14%   7560      0      0    7582   76613  96304   11277      6       0      0       0      0    16     85%    0%  -    13%    0%      22      0      0       0      0       0      0
 20%   7344      0      0    7376   75694 100788  116086  71889       0      0       0      0    16     94%   29%  Tf   29%    0%      32      0      0       0      0       0      0
 19%   7630      0      0    7743   79024  98482  182874 170628       0      0       0      0    16     99%  100%  :f   47%    0%     113      0      0       0      0       0      0
 16%   7243      0      0    7260   79437  99600  114298 140310       0      0       0      0    16     99%   76%  :    32%    0%      17      0      0       0      0       0      0
 14%   8244      0      0    8275  114302 126872   13199     11       0      0       0      0    16     93%    0%  -    15%    0%      31      0      0       0      0       0      0
 23%   8232      0      0    8235  101207  98310  161302 113689       0      0       0      0    16     99%   56%  Zf   35%    0%       3      0      0       0      0       0      0
 19%   9327      0      0    9328   64241  74375  186802 169004       0      0       0      0    16     98%  100%  :f   40%    0%       1      0      0       0      0       0      0
 12%   5953      0      0    5984   25552  38390   77870 121250       0      0       0      0    16     99%   70%  :    26%    0%      31      0      0       0      0       0      0
 10%   6535      0      0    6538   75311  80983    9641     11       0      0       0      0    16     80%    0%  -    10%    0%       3      0      0       0      0       0      0
 17%   6135      0      0    6195   67510  73659  110854  65260       0      0       0      0    16     83%   30%  Tf   25%    0%      60      0      0       0      0       0      0
 18%   6710      0      0    6743   73987  78768  201780 182612       0      0       0      0    16     82%  100%  :f   43%    0%      33      0      0       0      0       0      0
 13%   6465      0      0    6489   68538  75576   44970  73433       0      0       0      0    16     81%   39%  :    19%    0%      24      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 13%   8212      0      0    8234   67599  93864    7533      6       0      0       0      0    16     84%    0%  -     9%    0%      22      0      0       0      0       0      0
 20%   8049      0      0    8080   68212  83907  170529 125946       0      0       0      0    16     87%   60%  Tf   35%    0%      31      0      0       0      0       0      0
 16%   6359      0      0    6472   75251  74712  147231 163167       0      0       0      0    16     99%  100%  :f   37%    0%     113      0      0       0      0       0      0
 15%   9482      0      0    9484  173236  86001    6123   7286       0      0       0      0    16     98%    6%  :     7%    0%       2      0      0       0      0       0      0
 12%   9286      0      0    9318   67595  80635    4776     11       0      0       0      0    16     99%    0%  -     6%    0%      32      0      0       0      0       0      0
 24%  10186      0      0   10209   64253  73011  216179 178364       0      0       0      0    17     99%   94%  Tf   37%    0%      23      0      0       0      0       0      0
 21%  11051      0      0   11053   86234  84003  181902 181509       0      0       0      0    17     99%  100%  :f   34%    0%       2      0      0       0      0       0      0
 18%   9791      0      0    9822  214644  76845   46495  77858       0      0       0      0    17     98%   39%  :    18%    0%      31      0      0       0      0       0      0
 10%   7601      0      0    7638   21130  38175   46795  10879       0      0       0      0    17     98%    8%  Fn    8%    0%      37      0      0       0      0       0      0
 18%   8004      0      0    8008   30266  36560  178378 174206       0      0       0      0    17     98%  100%  :f   42%    0%       4      0      0       0      0       0      0
 18%   8437      0      0    8469   33056  43871  198015 194617       0      0       0      0    17     98%  100%  :f   36%    0%      32      0      0       0      0       0      0
 10%   6621      0      0    6642   18073  36580   28211  59734       0      0       0      0    17     98%   39%  :    13%    0%      21      0      0       0      0       0      0
 16%  11250      0      0   11268  110385  78702    9613      6       0      0       0      0    17     83%    0%  -    11%    0%      18      0      0       0      0       0      0
 23%   8511      0      0    8541  167069  75766  207156 182078       0      0       0      0    17     98%   61%  Tf   36%    0%      30      0      0       0      0       0      0
 15%   6795      0      0    7073  157050  48817   70931  92362       0      0       0      0    12s    97%   35%  :    18%    0%     278      0      0       0      0       0      0
  6%   4380      0      0    4381   17056  40054    3328      6       0      0       0      0    17     98%    0%  -     6%    0%       1      0      0       0      0       0      0
 14%   3970      0      0    4012   14911  32390  157974 121278       0      0       0      0    17     99%   64%  Tf   25%    0%      42      0      0       0      0       0      0
 15%   4093      0      0    4183   28870  31260  220713 237571       0      0       0      0    17     99%  100%  :f   37%    0%      90      0      0       0      0       0      0
 17%   4437      0      0    4438   21460  27906   62213  50401       0      0       0      0    17     99%   14%  Z    19%    0%       1      0      0       0      0       0      0
 11%   4830      0      0    4861   13472  32802    7099     11       0      0       0      0    17     98%    0%  -     9%    0%      31      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 14%   6219      0      0    6257   22023  38247   63858  57998       0      0       0      0    17     99%   74%  T    18%    0%      38      0      0       0      0       0      0
 11%   6662      0      0    6666   29151  23135    7194      8       0      0       0      0    17     99%    0%  -     8%    0%       4      0      0       0      0       0      0
 16%   4627      0      0    4658   29899  24155   45816   3010       0      0       0      0    17     99%   11%  Tf   15%    0%      31      0      0       0      0       0      0
 12%   3930      0      0    3974   49046  54749   67934  94977       0      0       0      0    17     96%   89%  :    22%    0%      44      0      0       0      0       0      0
 16%   6221      0      0    6225   64809  70048   12723     11       0      0       0      0    16     89%    0%  -    13%    0%       4      0      0       0      0       0      0
 26%   5760      0      0    5790   60338  56571  100428  47751       0      0       0      0     0s    93%   42%  Zf   32%    0%      30      0      0       0      0       0      0
 20%   8270      0      0    8383  114784 114639  107679  88250       0      0       0      0    16     74%  100%  :f   32%    0%     113      0      0       0      0       0      0
 22%   7408      0      0    7410   85907  89224  145369 130443       0      0       0      0    16     86%  100%  Zf   36%    0%       2      0      0       0      0       0      0
 25%   8429      0      0    8461  109555 111669  177462 177320       0      0       0      0    16     91%  100%  Zf   39%    0%      32      0      0       0      0       0      0
 22%   8891      0      0    9073  120896 119554   92481 105503       0      0       0      0    16     92%   59%  :    30%    0%     182      0      0       0      0       0      0
 20%   9314      0      0    9315  114258 129442   15818     11       0      0       0      0    16     93%    0%  -    16%    0%       1      0      0       0      0       0      0
 23%   5821      0      0    5853   57093  57797  129768  78034       0      0       0      0     0s    95%   40%  Tf   36%    0%      32      0      0       0      0       0      0
 16%   6255      0      0    6258   66374  61867  186414 176790       0      0       0      0     0s    99%  100%  :f   39%    0%       3      0      0       0      0       0      0
 22%   6725      0      0    6728   81556  89942  183458 186985       0      0       0      0     0s    99%   84%  Zf   43%    0%       3      0      0       0      0       0      0
 16%   7071      0      0    7103   93286  85056   96824 117235       0      0       0      0     0s    98%   72%  :    27%    0%      32      0      0       0      0       0      0
 21%   7327      0      0    7372   72966  87714  143329  88366       0      0       0      0     0s   100%   63%  Zf   35%    0%      45      0      0       0      0       0      0
 14%   6250      0      0    6252   67778  69263   73922  97917       0      0       0      0     0s    99%   71%  :    25%    0%       2      0      0       0      0       0      0
 11%   6533      0      0    6564   63748  74554    7958      6       0      0       0      0     0s    99%    0%  -     8%    0%      31      0      0       0      0       0      0
 16%   3925      0      0    4200   24611  36596   80549  36362       0      0       0      0    16s   100%   28%  Tn   19%    0%     275      0      0       0      0       0      0
 18%   4536      0      0    4537   30008  45789  179581 167287       0      0       0      0    16s    99%  100%  :f   42%    0%       1      0      0       0      0       0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s     HDD   kB/s     SSD   kB/s    Tape   kB/s  Cache  Cache    CP  CP   HDD   SSD   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s
                                       in    out    read  write    read  write    read  write    age    hit  time  ty  util  util                            in    out      in    out
 13%   3828      0      0    3860   16556  39012  107354 132942       0      0       0      0    16s   100%   79%  Z    26%    0%      32      0      0       0      0       0      0
 14%   4159      0      0    4325   22666  25720   63956  50050       0      0       0      0    16s   100%   44%  Z    19%    0%     166      0      0       0      0       0      0
 12%   4784      0      0    4786   21643  37428   54116  25085       0      0       0      0    16s   100%   40%  Zf   15%    0%       2      0      0       0      0       0      0
 16%   7408      0      0    7475   24837  31804   55397  68877       0      0       0      0    16s   100%   76%  Z    24%    0%      67      0      0       0      0       0      0
  9%   4459      0      0    4625   20256  26755    6283     11       0      0       0      0    16s    99%    0%  -     9%    0%     166      0      0       0      0       0      0
 12%   4029      0      0    4084   18353  30687   67257  21306       0      0       0      0    34s    99%   21%  Tf   15%    0%      55      0      0       0      0       0      0
